TABLE_NAME,TABLE_TYPE,REMARKS
52_Weeks,TABLE,
52_Weeks_Report_List_All,VIEW,
52_Weeks_Report_List_Changes,VIEW,Sorted by Date Modified
Account_MStyle_Projection_Changes,TABLE,
Account_MStyle_Projection_Changes_Report_Embedded_for_Styles,VIEW,
Account_MStyle_Projection_Changes_Report_List_All,VIEW,
Account_MStyle_Projection_Changes_Report_List_Changes,VIEW,Sorted by Date Modified
Accounts_mirror_,TABLE,
Accounts_mirror__Report_Customer_Dropdown,VIEW,
Accounts_mirror__Report_List_All,VIEW,
Accounts_mirror__Report_List_Changes,VIEW,Sorted by Date Modified
Accounts_mirror__Report_Sales_OO_by_Customer,VIEW,
Acct_MStyle_Master,TABLE,
Acct_MStyle_Master_Report_2019_Fetch_Sales_by_Customer_Style,VIEW,
Acct_MStyle_Master_Report_2020_Fetch_Sales_OO_by_Customer_Brand_summary_,VIEW,
Acct_MStyle_Master_Report_2022_Price_Increases_Not_Confirmed_15_Margin,VIEW,
Acct_MStyle_Master_Report__Orders_per_Acct_MStyle_Pair,VIEW,
Acct_MStyle_Master_Report_Acct_Div_ref_Acct_Div,VIEW,
Acct_MStyle_Master_Report_Acct_MStyle_Pairs_Needing_Decisions,VIEW,Orders =1 AND Qty>99
Acct_MStyle_Master_Report_Acct_Root_Mstyle_Pair_Check,VIEW,
Acct_MStyle_Master_Report_Active_In_Prodn_Items_Below_Margin_Threshold_w_o_Amazon_,VIEW,
Acct_MStyle_Master_Report_Active_Styles_New_Pricing_August_2021,VIEW,
Acct_MStyle_Master_Report_Allocation,VIEW,
Acct_MStyle_Master_Report_Allocation_All_Open_Orders,VIEW,
Acct_MStyle_Master_Report_Allocation_All_Records,VIEW,
Acct_MStyle_Master_Report_Allocation_copy_for_TESTING,VIEW,
Acct_MStyle_Master_Report_Amazon_Missing_Cust_SKU_,VIEW,
Acct_MStyle_Master_Report_Approve_Costs_for_My_New_Items,VIEW,
Acct_MStyle_Master_Report_Approve_Pricing_on_New_Orders,VIEW,
Acct_MStyle_Master_Report_AUG_JAN_Price,VIEW,
Acct_MStyle_Master_Report_August_2021_Price_Increases_Not_Cfmd,VIEW,
Acct_MStyle_Master_Report_Auto_Approve_Prices,VIEW,
Acct_MStyle_Master_Report_CY_Profitability_22_MU_,VIEW,
