ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.168,275.0,10.99,25.0,149.0,4.0,0.0,True,,4.6,1332.0,10.99,,,565.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,4186.0,B0845V9RZ9,2026-04-25,,,,,
In Stock,ACTIVE,0.178,385.0,10.99,35.0,197.0,4.0,0.0,True,,4.6,1332.0,10.99,,,548.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,4072.0,B0845V9RZ9,2026-04-24,,,,,
In Stock,ACTIVE,0.109,198.0,10.99,18.0,165.0,4.0,0.0,True,,4.6,1332.0,10.99,,,529.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3992.0,B0845V9RZ9,2026-04-23,,,,,
In Stock,ACTIVE,0.148,305.0,10.9,28.0,189.0,4.0,0.0,True,,4.6,1330.0,10.99,,,528.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3822.0,B0845V9RZ9,2026-04-22,,,,,
In Stock,ACTIVE,0.168,330.0,10.98,30.0,179.0,4.0,0.0,True,,4.6,1330.0,10.99,,,506.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3883.0,B0845V9RZ9,2026-04-21,,,,,
In Stock,ACTIVE,0.175,318.0,10.98,29.0,166.0,4.0,0.0,True,,4.6,1330.0,10.99,,,524.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3828.0,B0845V9RZ9,2026-04-20,,,,,
In Stock,ACTIVE,0.214,451.0,10.99,41.0,192.0,4.0,0.0,True,,4.6,1330.0,10.99,,,600.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3762.0,B0845V9RZ9,2026-04-19,,,,,
In Stock,ACTIVE,0.135,231.0,10.98,21.0,155.0,4.0,0.0,True,,4.6,1330.0,10.99,,,610.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3849.0,B0845V9RZ9,2026-04-18,,,,,
In Stock,ACTIVE,0.13,187.0,10.99,17.0,131.0,0.0,0.0,True,,4.6,1330.0,10.99,,,623.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3791.0,B0845V9RZ9,2026-04-17,,,,,
In Stock,ACTIVE,0.172,275.0,10.99,25.0,145.0,4.0,0.0,True,,4.6,1330.0,10.99,,,704.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3770.0,B0845V9RZ9,2026-04-16,,,,,
In Stock,ACTIVE,0.148,264.0,10.99,24.0,162.0,4.0,0.0,True,,4.6,1330.0,10.99,,,694.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3905.0,B0845V9RZ9,2026-04-15,,,,,
In Stock,ACTIVE,0.106,198.0,10.98,18.0,170.0,4.0,0.0,True,,4.6,1330.0,10.99,,,711.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3562.0,B0845V9RZ9,2026-04-14,,,,,
In Stock,ACTIVE,0.101,176.0,10.98,16.0,158.0,4.0,0.0,True,,4.6,1330.0,10.99,,,687.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3594.0,B0845V9RZ9,2026-04-13,,,,,
In Stock,ACTIVE,0.07200000000000001,143.0,10.99,13.0,180.0,4.0,0.0,True,,4.6,1330.0,10.99,,,738.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3546.0,B0845V9RZ9,2026-04-12,,,,,
In Stock,ACTIVE,0.157,198.0,10.99,18.0,115.0,4.0,0.0,True,,4.6,1330.0,10.99,,,744.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,0.0,B0845V9RZ9,2026-04-11,,,,,
In Stock,ACTIVE,0.07400000000000001,132.0,10.99,12.0,163.0,4.0,0.0,True,,4.6,1330.0,10.99,,,738.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3537.0,B0845V9RZ9,2026-04-10,,,,,
In Stock,ACTIVE,0.124,176.0,10.99,16.0,129.0,4.0,0.0,True,,4.6,1330.0,10.99,,,734.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3513.0,B0845V9RZ9,2026-04-09,,,,,
In Stock,ACTIVE,0.165,142.0,10.95,13.0,79.0,4.0,0.0,True,,4.6,1330.0,10.95,,,784.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3463.0,B0845V9RZ9,2026-04-08,,,,,
In Stock,ACTIVE,0.195,173.0,10.84,16.0,82.0,4.0,0.0,True,,4.6,1330.0,10.84,,,900.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3545.0,B0845V9RZ9,2026-04-07,,,,,
In Stock,ACTIVE,0.239,173.0,10.84,16.0,67.0,4.0,0.0,True,,4.6,1330.0,12.25,,,1033.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3334.0,B0845V9RZ9,2026-04-06,,,,,
In Stock,ACTIVE,0.2,159.0,12.25,13.0,65.0,4.0,0.0,True,,4.6,1329.0,12.25,,,1114.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3309.0,B0845V9RZ9,2026-04-05,,,,,
In Stock,ACTIVE,0.2,74.0,12.25,6.0,30.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1164.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3241.0,B0845V9RZ9,2026-04-04,,,,,
In Stock,ACTIVE,0.122,74.0,12.25,6.0,49.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1119.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3164.0,B0845V9RZ9,2026-04-03,,,,,
In Stock,ACTIVE,0.061,25.0,12.25,2.0,33.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1189.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3004.0,B0845V9RZ9,2026-04-02,,,,,
In Stock,ACTIVE,0.164,122.0,12.25,10.0,61.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1099.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,3210.0,B0845V9RZ9,2026-04-01,,,,,
In Stock,ACTIVE,0.061,37.0,12.25,3.0,49.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1085.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2864.0,B0845V9RZ9,2026-03-31,,,,,
In Stock,ACTIVE,0.167,74.0,12.25,6.0,36.0,4.0,0.0,True,,4.6,1328.0,12.25,,,966.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2833.0,B0845V9RZ9,2026-03-30,,,,,
In Stock,ACTIVE,0.09,74.0,12.25,6.0,67.0,4.0,0.0,True,,4.6,1328.0,12.25,,,930.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2691.0,B0845V9RZ9,2026-03-29,,,,,
In Stock,ACTIVE,0.25,123.0,12.25,10.0,40.0,4.0,0.0,True,,4.6,1328.0,12.25,,,877.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2776.0,B0845V9RZ9,2026-03-28,,,,,
In Stock,ACTIVE,0.172,123.0,12.25,10.0,58.0,4.0,0.0,True,,4.6,1328.0,12.25,,,912.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2543.0,B0845V9RZ9,2026-03-27,,,,,
In Stock,ACTIVE,0.258,196.0,12.25,16.0,62.0,4.0,0.0,True,,4.6,1328.0,10.57,,,963.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2561.0,B0845V9RZ9,2026-03-26,,,,,
In Stock,ACTIVE,0.359,171.0,12.24,14.0,39.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1021.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2615.0,B0845V9RZ9,2026-03-25,,,,,
In Stock,ACTIVE,0.16,98.0,12.25,8.0,50.0,4.0,0.0,True,,4.6,1328.0,10.55,,,1061.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2461.0,B0845V9RZ9,2026-03-24,,,,,
In Stock,ACTIVE,0.176,110.0,12.25,9.0,51.0,4.0,0.0,True,,4.6,1328.0,12.25,,,1021.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2463.0,B0845V9RZ9,2026-03-23,,,,,
In Stock,ACTIVE,0.048,37.0,12.25,3.0,62.0,4.0,0.0,True,,4.6,1327.0,12.25,,,1058.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2442.0,B0845V9RZ9,2026-03-22,,,,,
In Stock,ACTIVE,0.25,123.0,12.25,10.0,40.0,4.0,0.0,True,,4.6,1326.0,12.25,,,864.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2442.0,B0845V9RZ9,2026-03-21,,,,,
In Stock,ACTIVE,0.13,37.0,12.25,3.0,23.0,4.0,0.0,True,,4.6,1326.0,12.25,,,1063.0,Kingsford,,"B0845V9RZ9 (Kingsford - 10"" Heavy Duty Round Paper Plates, 35ct)",[],True,False,True,True,Disposable Tabletop,2454.0,B0845V9RZ9,2026-03-20,,,,,
