ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,331.0,,,,581.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,68.0,B0CTVHH74X,2025-10-15,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,331.0,,,,543.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,70.0,B0CTVHH74X,2025-10-14,,,,,
Not Buyable,ACTIVE,,8.0,8.47,1.0,0.0,6.0,0.0,True,,4.4,331.0,,,,519.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,76.0,B0CTVHH74X,2025-10-13,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,329.0,,,,555.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,83.0,B0CTVHH74X,2025-10-12,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,327.0,,,,605.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,87.0,B0CTVHH74X,2025-10-11,,,,,
Not Buyable,ACTIVE,,68.0,8.47,8.0,0.0,6.0,0.0,True,,4.4,324.0,,,,610.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,90.0,B0CTVHH74X,2025-10-10,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,324.0,,,,583.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,92.0,B0CTVHH74X,2025-10-09,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,322.0,,,,524.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,93.0,B0CTVHH74X,2025-10-08,,,,,
Not Buyable,ACTIVE,,17.0,8.47,2.0,0.0,6.0,0.0,True,,4.4,322.0,,,,517.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,99.0,B0CTVHH74X,2025-10-07,,,,,
Not Buyable,ACTIVE,,34.0,8.47,4.0,0.0,6.0,0.0,True,,4.4,322.0,,,,500.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,99.0,B0CTVHH74X,2025-10-06,,,,,
