ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,FD,,,,,,5.0,0.0,True,,5.0,3.0,58.07,,,3134.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-03-27,,,,,
Not Buyable,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,,,,3336.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],False,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-03-26,,,,,
In Stock,FD,1.0,58.0,58.26,1.0,1.0,5.0,0.0,True,,5.0,3.0,58.26,,,4172.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,34.0,B0D436H21V,2026-03-25,,,,,
In Stock,FD,,58.0,58.26,1.0,,5.0,0.0,True,,5.0,3.0,58.26,,,3832.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,34.0,B0D436H21V,2026-03-24,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,58.28,,,3361.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,38.0,B0D436H21V,2026-03-23,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,58.29,,,4564.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,34.0,B0D436H21V,2026-03-22,,,,,
In Stock,FD,1.0,117.0,58.29,2.0,2.0,5.0,0.0,True,,5.0,3.0,58.29,,,4475.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,34.0,B0D436H21V,2026-03-21,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,58.26,,,4355.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,38.0,B0D436H21V,2026-03-20,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,58.28,,,4250.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,34.0,B0D436H21V,2026-03-19,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,58.32,,,4030.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,30.0,B0D436H21V,2026-03-18,,,,,
In Stock,FD,0.0,,,,2.0,5.0,0.0,True,,5.0,3.0,58.32,,,3638.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,30.0,B0D436H21V,2026-03-17,,,,,
In Stock,FD,,-58.0,58.29,-1.0,,5.0,0.0,True,,5.0,3.0,58.32,,,3166.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,32.0,B0D436H21V,2026-03-16,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,58.32,,,3524.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,34.0,B0D436H21V,2026-03-15,,,,,
In Stock,FD,1.0,58.0,58.32,1.0,1.0,5.0,0.0,True,,5.0,3.0,58.3,,,3098.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,27.0,B0D436H21V,2026-03-14,,,,,
In Stock,FD,0.0,0.0,,0.0,4.0,5.0,0.0,True,,5.0,3.0,58.29,,,3346.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,27.0,B0D436H21V,2026-03-13,,,,,
In Stock,FD,,58.0,58.29,1.0,,5.0,0.0,True,,5.0,3.0,58.33,,,2901.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,28.0,B0D436H21V,2026-03-12,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,58.34,,,2975.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,30.0,B0D436H21V,2026-03-11,,,,,
