ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
Long Term OOS,ACTIVE,0.0,,,,2.0,6.0,0.0,False,,,,11.99,,,,Burt's Bees,,B0FSMG68BT (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peppermint [Small] 6.8oz),[],True,False,True,True,Treats & Chews,,B0FSMG68BT,2025-09-29,,,,,
Short Term OOS,ACTIVE,0.0,,,,3.0,6.0,0.0,False,,,,11.99,,,,Burt's Bees,,B0FSMG68BT (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peppermint [Small] 6.8oz),[],True,False,True,True,Treats & Chews,,B0FSMG68BT,2025-09-28,0.0,0.0,0.0,0.0,0.0
Short Term OOS,ACTIVE,0.0,,,,1.0,6.0,0.0,False,,,,11.99,,,,Burt's Bees,,B0FSMG68BT (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peppermint [Small] 6.8oz),[],True,False,False,True,Treats & Chews,,B0FSMG68BT,2025-09-27,,,,,
,,0.0,,,,1.0,,,False,,,,,,,,Burt's Bees,,B0FSMG68BT (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peppermint [Small] 6.8oz),[],False,False,False,False,Treats & Chews,,B0FSMG68BT,2025-09-26,,,,,
In Stock,ACTIVE,,,,,,12.0,0.0,True,,4.9,11.0,9.3,,,2037.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,,B0FSMQCD7Y,2026-05-15,,,,,
In Stock,ACTIVE,,9.0,9.3,1.0,,12.0,0.0,True,,4.9,11.0,9.3,,,2319.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,,B0FSMQCD7Y,2026-05-14,,,,,
In Stock,ACTIVE,,9.0,9.3,1.0,,12.0,0.0,True,,4.9,11.0,9.3,,,2102.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,,B0FSMQCD7Y,2026-05-13,,,,,
In Stock,ACTIVE,,0.0,,0.0,,12.0,0.0,True,,4.9,11.0,9.3,,,1931.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,,B0FSMQCD7Y,2026-05-12,,,,,
In Stock,ACTIVE,0.2,9.0,9.3,1.0,5.0,12.0,0.0,True,,4.9,11.0,9.3,,,1894.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,134.0,B0FSMQCD7Y,2026-05-11,,,,,
In Stock,ACTIVE,0.333,9.0,9.3,1.0,3.0,12.0,0.0,True,,4.9,11.0,9.3,,,2193.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,135.0,B0FSMQCD7Y,2026-05-10,,,,,
In Stock,ACTIVE,0.143,9.0,9.3,1.0,7.0,12.0,0.0,True,,4.9,11.0,9.3,,,1974.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,135.0,B0FSMQCD7Y,2026-05-09,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,2.0,12.0,0.0,True,,4.9,11.0,9.3,,,1677.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,134.0,B0FSMQCD7Y,2026-05-08,,,,,
In Stock,ACTIVE,0.2,9.0,9.3,1.0,5.0,12.0,0.0,True,,4.9,11.0,9.3,,,1919.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,True,Treats & Chews,135.0,B0FSMQCD7Y,2026-05-07,,,,,
In Stock,ACTIVE,0.077,9.0,9.3,1.0,13.0,12.0,0.0,True,,4.9,11.0,9.3,,,2235.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,138.0,B0FSMQCD7Y,2026-05-06,,,,,
In Stock,ACTIVE,0.125,9.0,9.3,1.0,8.0,12.0,0.0,True,,4.9,11.0,9.3,,,2012.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,139.0,B0FSMQCD7Y,2026-05-05,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,12.0,0.0,True,,4.9,11.0,9.3,,,1957.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,139.0,B0FSMQCD7Y,2026-05-04,,,,,
In Stock,ACTIVE,0.4,19.0,9.3,2.0,5.0,12.0,0.0,True,,4.9,11.0,9.3,,,2278.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,141.0,B0FSMQCD7Y,2026-05-03,,,,,
In Stock,ACTIVE,0.222,19.0,9.3,2.0,9.0,12.0,0.0,True,,4.9,11.0,9.3,,,2038.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,142.0,B0FSMQCD7Y,2026-05-02,,,,,
In Stock,ACTIVE,0.0,,,,5.0,12.0,0.0,True,,4.9,11.0,9.3,,,1894.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,142.0,B0FSMQCD7Y,2026-05-01,,,,,
In Stock,ACTIVE,0.286,19.0,9.3,2.0,7.0,12.0,0.0,True,,4.9,11.0,9.3,,,1667.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,142.0,B0FSMQCD7Y,2026-04-30,,,,,
In Stock,ACTIVE,0.6,28.0,9.3,3.0,5.0,12.0,0.0,True,,4.9,11.0,9.3,,,2281.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,147.0,B0FSMQCD7Y,2026-04-29,,,,,
In Stock,ACTIVE,0.667,37.0,9.3,4.0,6.0,12.0,0.0,True,,4.9,11.0,9.3,,,2683.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-28,,,,,
In Stock,ACTIVE,0.0,,,,4.0,12.0,0.0,True,,4.9,11.0,9.3,,,2271.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-27,,,,,
In Stock,ACTIVE,0.0,,,,7.0,12.0,0.0,True,,4.9,11.0,9.3,,,2572.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-26,,,,,
In Stock,ACTIVE,0.0,,,,3.0,12.0,0.0,True,,4.9,11.0,9.3,,,2560.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-25,,,,,
In Stock,ACTIVE,,0.0,,0.0,,12.0,0.0,True,,4.9,11.0,9.3,,,2492.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-24,,,,,
In Stock,ACTIVE,,0.0,,0.0,0.0,12.0,0.0,True,,4.9,11.0,9.3,,,2366.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-23,,,,,
