rid,mstyle,customer,brand,inv_mgr,item_status,vol_tier,l13w_avg,l26w_avg,man_total,ai_total,ord_total,l13w_26basis,delta_pct,direction,man_zeros,ai_zeros,killed,front_load_score,man_vs_l13,ai_vs_l13,trend_ratio,MAN_W1,MAN_W2,MAN_W3,MAN_W4,MAN_W5,MAN_W6,MAN_W7,MAN_W8,MAN_W9,MAN_W10,MAN_W11,MAN_W12,MAN_W13,MAN_W14,MAN_W15,MAN_W16,MAN_W17,MAN_W18,MAN_W19,MAN_W20,MAN_W21,MAN_W22,MAN_W23,MAN_W24,MAN_W25,MAN_W26,AI_W1,AI_W2,AI_W3,AI_W4,AI_W5,AI_W6,AI_W7,AI_W8,AI_W9,AI_W10,AI_W11,AI_W12,AI_W13,AI_W14,AI_W15,AI_W16,AI_W17,AI_W18,AI_W19,AI_W20,AI_W21,AI_W22,AI_W23,AI_W24,AI_W25,AI_W26,ORD_W1,ORD_W2,ORD_W3,ORD_W4,ORD_W5,ORD_W6,ORD_W7,ORD_W8,ORD_W9,ORD_W10,ORD_W11,ORD_W12,ORD_W13,ORD_W14,ORD_W15,ORD_W16,ORD_W17,ORD_W18,ORD_W19,ORD_W20,ORD_W21,ORD_W22,ORD_W23,ORD_W24,ORD_W25,ORD_W26
13149,BB0332,ACE HARDWARE CORPORATION,Kingsford Rolled Foil,Tae Kang,Active: Replen,HIGH,713.4615384615385,531.7307692307693,12440.0,16555.0,196.68,18550.0,-24.856538810027182,DOWN,20,4,True,3.4867,0.6706199460916442,0.8924528301886793,0.0077088948787062,0.0,2475.0,0.0,0.0,3700.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,1015.0,0.0,0.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,805.0,735.0,700.0,770.0,665.0,630.0,665.0,0.0,0.0,0.0,1085.0,630.0,630.0,665.0,630.0,700.0,875.0,945.0,770.0,910.0,735.0,770.0,735.0,665.0,5.0,5.0,6.0,6.0,0.0,4.68,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13168,BB0096,"AMAZON.COM.KYDC,INC",Glad,John Grossi,Active: Replen,MED,349.8461538461539,412.6153846153846,11605.0,5004.0,196.27,9096.000000000002,131.9144684252598,UP,1,0,False,0.9293,1.2758355321020227,0.550131926121372,0.015721196130167103,0.0,410.0,410.0,570.0,570.0,570.0,570.0,410.0,410.0,410.0,410.0,535.0,535.0,535.0,535.0,535.0,410.0,410.0,410.0,410.0,425.0,425.0,425.0,425.0,425.0,425.0,204.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,5.0,5.0,6.0,6.0,0.0,4.27,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13169,BB0098,"AMAZON.COM.KYDC,INC",Glad,John Grossi,Active: Replen,HIGH,1271.538461538461,1223.769230769231,37560.0,30228.0,197.81,33059.999999999985,24.25565700674871,UP,1,0,False,0.8568,1.1361161524500913,0.9143375680580766,0.004325468844525108,0.0,1525.0,1525.0,1600.0,1600.0,1600.0,1600.0,1400.0,1400.0,1400.0,1400.0,1500.0,1500.0,1500.0,1500.0,1500.0,1465.0,1465.0,1465.0,1465.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1020.0,1128.0,1128.0,1140.0,1260.0,1308.0,1428.0,1344.0,1296.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,5.0,5.0,6.0,6.0,0.0,5.81,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13171,BB0102,"AMAZON.COM.KYDC,INC",Glad,John Grossi,Active: Replen,LOW,66.46153846153847,59.07692307692308,2885.0,1248.0,197.81,1728.0000000000002,131.1698717948718,UP,0,0,False,1.0181,1.669560185185185,0.7222222222222221,0.08275462962962962,125.0,125.0,125.0,100.0,100.0,100.0,100.0,115.0,115.0,115.0,115.0,130.0,130.0,130.0,130.0,130.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,5.0,5.0,6.0,6.0,0.0,5.81,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13172,BB0332,"AMAZON.COM.KYDC,INC",Kingsford Rolled Foil,John Grossi,Active: Replen,ZERO,0.0,0.0,3355.0,0.0,196.53,0.0,999.0,UP,0,26,False,,,,,125.0,125.0,125.0,165.0,165.0,165.0,165.0,140.0,140.0,140.0,140.0,110.0,110.0,110.0,110.0,110.0,100.0,100.0,100.0,100.0,135.0,135.0,135.0,135.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,0.0,4.53,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13193,FF10159,"AMAZON.COM.KYDC,INC",Arm & Hammer Core Grooming,John Grossi,Active: Replen,MED,353.5384615384615,1755.461538461539,0.0,111066.0,194.59,9191.999999999998,-100.0,DOWN,26,0,True,,,12.082898172323763,0.015557006092254137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,3228.0,3228.0,3228.0,14082.0,3228.0,3228.0,3228.0,3228.0,6750.0,3228.0,3228.0,3228.0,3228.0,3228.0,3228.0,3228.0,3228.0,6750.0,3228.0,3228.0,3228.0,14082.0,3228.0,3228.0,3228.0,5.0,5.0,6.0,6.0,0.0,2.59,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13194,FF10162,"AMAZON.COM.KYDC,INC",Arm & Hammer Core Grooming,John Grossi,Active: Replen,LOW,64.15384615384616,32.07692307692308,0.0,0.0,193.99,1668.0000000000002,0.0,BOTH_ZERO,26,26,False,,,,0.08573141486810551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,0.0,1.99,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13202,FF10475,"AMAZON.COM.KYDC,INC",Arm & Hammer Core Grooming,John Grossi,Active: Replen,MED,198.0,188.3076923076923,7355.0,3126.0,192.0,5148.0,135.28470889315417,UP,0,0,False,0.1655,1.4287101787101788,0.6072261072261073,0.027777777777777776,100.0,100.0,100.0,315.0,315.0,315.0,315.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,36.0,30.0,30.0,30.0,30.0,108.0,30.0,30.0,30.0,108.0,30.0,30.0,30.0,198.0,198.0,198.0,198.0,198.0,5.0,5.0,6.0,6.0,0.0,0.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13204,FF10556,"AMAZON.COM.KYDC,INC",Glad for Pets,John Grossi,Active: Replen,MED,311.8461538461539,250.9615384615385,10720.0,9222.0,213.91,8108.000000000002,16.243764909997832,UP,1,0,False,0.7929,1.3221509620128264,1.13739516526887,0.017636901825357668,0.0,430.0,430.0,400.0,400.0,400.0,400.0,455.0,455.0,455.0,455.0,435.0,435.0,435.0,435.0,400.0,400.0,400.0,400.0,400.0,450.0,450.0,450.0,450.0,450.0,450.0,172.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,5.0,5.0,6.0,6.0,0.0,21.91,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
13221,FF11353,"AMAZON.COM.KYDC,INC",Glad for Pets,John Grossi,Active: Replen,MED,480.0,572.3076923076923,3170.0,3948.0,201.32,12480.0,-19.706180344478216,DOWN,0,0,False,0.3137,0.25400641025641024,0.31634615384615383,0.011458333333333333,125.0,125.0,125.0,110.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,145.0,145.0,145.0,145.0,145.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,432.0,432.0,432.0,432.0,228.0,120.0,120.0,120.0,120.0,96.0,96.0,96.0,96.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,96.0,96.0,96.0,84.0,5.0,5.0,6.0,6.0,0.0,9.32,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
