mstyle,top_issue,issues,n_accounts,top_accounts,beg_inv_w1,effective_w1,w2_beg,w2_rcv,carry_est,avg_demand_wk,man_26w,ai_26w,lt_wks,opt_wos,current_wos,stockout_wk,next_rcpt,moq,pipeline
FF17554,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1885-FF17554,0,0,15012,15012,,1600.0,38400,31392,14.9,6.0,0.0,1,2026-09-09,3000,52092
FF14469,OOS_TRUE,OOS_TRUE; REORDER_NOW; MISMATCH,1,23011-FF14469,0,0,0,0,,1555.5,34221,25827,11.0,4.0,0.0,1,2026-08-13,10000,25005
FF30755EC,OOS_TRUE,OOS_TRUE; REORDER_NOW; MISMATCH,1,1864-FF30755EC,0,0,0,0,,1525.3,24405,20166,11.1,4.0,0.0,1,2026-08-14,5000,0
FF12659/16,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23011-FF12659/16,0,0,0,0,,1865.2,24247,24899,17.9,4.0,0.0,1,2026-09-30,30000,16000
BB32892,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,22008-BB32892,0,0,0,0,,1750.0,22750,3888,12.4,4.0,0.0,1,2026-08-23,200000,25020
FF12660/16,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23011-FF12660/16,0,0,0,0,,1554.3,20206,20728,14.4,4.0,0.0,1,2026-09-06,6000,8992
FF35147EC,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-FF35147EC,0,0,0,0,,660.2,17165,32568,12.3,4.0,-1.9,1,2026-08-22,10000,10008
BB31553HE,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,BB31553HE,0,0,0,0,,723.8,15200,15440,18.9,4.0,0.0,1,2026-10-07,2500,10008
BB31552HE,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,BB31552HE,0,0,0,0,,714.3,15000,15240,18.9,4.0,0.0,1,2026-10-07,2500,6000
FF31326EC,OOS_TRUE,OOS_TRUE; REORDER_NOW; MISMATCH,1,1864-FF31326EC,0,0,0,0,,712.8,11405,7536,12.3,4.0,0.0,1,2026-08-22,6000,0
BB13447CAN,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23018-BB13447CAN,0,0,0,0,,621.2,10560,10740,20.0,4.0,0.0,1,2026-10-15,20000,13164
BB13448CAN,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23018-BB13448CAN,0,0,0,0,,621.2,10560,10740,12.9,4.0,0.0,1,2026-08-26,20000,13164
FF15584AMZ,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-FF15584AMZ,0,0,0,0,,419.5,10488,10488,19.6,4.0,-1.1,1,2026-10-12,10000,0
FF12837EC,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-FF12837EC,0,0,0,0,,730.0,10220,6486,13.0,4.0,0.0,1,2026-08-27,6000,0
BB36990CAN,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23018-BB36990CAN,0,0,0,0,,541.3,9202,9372,17.9,4.0,0.0,1,2026-09-30,5000,9270
BB38585CAN,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23018-BB38585CAN,0,0,0,0,,530.6,9020,9186,17.9,4.0,0.0,1,2026-09-30,20000,9270
BB13435CAN,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23018-BB13435CAN,0,0,0,0,,527.1,8960,9096,17.9,4.0,0.0,1,2026-09-30,20000,9048
BB13437CAN,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,23018-BB13437CAN,0,0,0,0,,527.1,8960,9096,17.9,4.0,0.0,1,2026-09-30,20000,9048
FF7112EC,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-FF7112EC,0,0,0,0,,334.8,8706,8706,10.0,4.0,-1.1,1,2026-08-06,2600,0
BB11917,OOS_TRUE,OOS_TRUE; REORDER_NOW,3,"1864-BB11917, 4524-BB11917, 18360-BB11917",0,0,0,0,,377.2,8675,26916,10.3,5.0,0.0,1,2026-08-08,5004,12012
FF10477EC,OOS_TRUE,OOS_TRUE; REORDER_NOW; MISMATCH,1,1864-FF10477EC,0,0,0,0,,374.6,8615,150,9.4,4.0,0.0,1,2026-08-02,10000,10002
FF6554COS,OOS_TRUE,OOS_TRUE; REORDER_NOW,3,"13646-FF6554COS, 14719-FF6554COS, 8919-FF6554COS",0,0,0,0,,2344.0,7032,7032,16.0,4.0,0.0,1,2026-09-17,5000,16236
FF37372,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,3466-FF37372,0,0,0,0,,359.7,6834,6934,17.9,4.0,0.0,1,2026-09-30,4800,7008
FF31454,OOS_TRUE,OOS_TRUE; REORDER_NOW,3,"16579-FF31454, 3102-FF31454, 1864-FF31454",0,0,0,0,,258.8,6470,6576,17.6,6.0,0.0,1,2026-09-28,10000,8016
FF31453,OOS_TRUE,OOS_TRUE; REORDER_NOW; MISMATCH,3,"16579-FF31453, 3102-FF31453, 1864-FF31453",0,0,0,0,,322.4,6447,1392,17.6,6.0,0.0,1,2026-09-28,10000,2520
FF8423MX,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,3837-FF8423MX,0,0,0,0,,978.0,5868,3468,12.4,6.0,0.0,1,2026-08-23,9612,1902
FF7297AMZ2,OOS_TRUE,OOS_TRUE; REORDER_NOW; MISMATCH,1,1864-FF7297AMZ2,0,0,0,0,,209.4,5235,1050,16.0,4.0,0.0,1,2026-09-17,48,4752
BB14694,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-BB14694,0,0,0,0,,200.0,5200,5200,16.4,0.0,-1.0,1,2026-09-20,5000,0
FF16704HL,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,8423-FF16704HL,0,0,0,0,,320.0,5120,0,10.1,4.0,0.0,1,2026-08-07,10000,5004
FF9297/24HL,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,8423-FF9297/24HL,0,0,0,0,,320.0,5120,0,13.0,4.0,0.0,1,2026-08-27,15000,8016
FF37377,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,3466-FF37377,0,0,0,0,,239.5,4550,4618,15.1,4.0,0.0,1,2026-09-11,4800,6000
BB27359/10,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,2659-BB27359/10,0,0,0,0,,195.5,4300,4360,13.1,4.0,0.0,1,2026-08-28,5004,5000
BB22092,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-BB22092,0,0,0,0,,156.0,4056,4056,12.4,0.0,-1.0,1,2026-08-23,3000,0
BB13603PCS2,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-BB13603PCS2,0,0,0,0,,147.0,3822,3822,12.4,0.0,-1.0,1,2026-08-23,10000,0
BB30424/10,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,2659-BB30424/10,0,0,0,0,,172.7,3800,3840,13.1,4.0,0.0,1,2026-08-28,5004,5000
FF7942,OOS_TRUE,OOS_TRUE; REORDER_NOW,1,1864-FF7942,0,0,0,0,,144.0,3744,3744,10.1,0.0,-1.0,1,2026-08-07,15600,0
