key,cust,mstyle,desc,model,baseline_mode,old_wkly,new_wkly,old_26w,new_26w,delta_pct
1864-FF7115,"AMAZON.COM.KYDC,INC",FF7115,"BioSilk for Dogs Puppy Tearless Shampoo,",Croston's,,2.3,292.2,60,7596,12560.0
1864-FF27997,"AMAZON.COM.KYDC,INC",FF27997,GLAD Small Activated Carbon Training Pad,Heuristic,,4.0,182.8,104,4754,4471.2
1864-FF28036,"AMAZON.COM.KYDC,INC",FF28036,Wags & Wiggles Deterrent Training Spray ,Sparse Intermittent,,0.7,28.4,18,738,4000.0
1864-FF20210EC,"AMAZON.COM.KYDC,INC",FF20210EC,Arm & Hammer Itch Relief Shampoo - Chamo,Croston's,,7.2,112.6,186,2928,1474.2
1864-BB35101PCS6,"AMAZON.COM.KYDC,INC",BB35101PCS6,Gladware - Design Series 24oz - Medium R,Croston's,,0.1,1.1,2,28,1300.0
1864-BB29714PCS6,"AMAZON.COM.KYDC,INC",BB29714PCS6,Clorox Fraganzia - Dryer Sheets - 105ct ,Croston's,,0.1,0.9,2,23,1050.0
1864-FF33871,"AMAZON.COM.KYDC,INC",FF33871,Arm & Hammer Complete Care Brushless Den,Croston's,,0.9,10.2,24,264,1000.0
1864-BB22025PCS2,"AMAZON.COM.KYDC,INC",BB22025PCS2,Fabuloso -Sponges Purple 4 CT - 2 COUNT ,Croston's,,0.9,9.2,24,240,900.0
1864-FF14365PCS12,"AMAZON.COM.KYDC,INC",FF14365PCS12,Wet Ones for Pets Hypoallergenic Multi-P,Croston's,,0.5,4.8,13,126,869.2
1864-BB0191PCS6,"AMAZON.COM.KYDC,INC",BB0191PCS6,Clorox Fraganzia - Dryer Sheets - 105ct ,Sparse Intermittent,,0.1,0.7,2,18,800.0
1864-BB36990PCS10,"AMAZON.COM.KYDC,INC",BB36990PCS10,Glad for Kids - 6oz Paper Snack Bowls w/,Sparse Intermittent,,0.1,0.7,2,18,800.0
1864-FF10162PCS6,"AMAZON.COM.KYDC,INC",FF10162PCS6,"Arm & Hammer Tearless Puppy Shampoo, 20o",Croston's,,0.5,3.7,13,95,630.8
1864-FF30880PX6,"AMAZON.COM.KYDC,INC",FF30880PX6,Dole Molded Chew; Pumpkin; 8oz bag/5ct [,Heuristic,,0.1,0.5,2,14,600.0
1864-BB19110PCS6,"AMAZON.COM.KYDC,INC",BB19110PCS6,Clorox Fraganzia - Air Freshener Beads T,Sparse Intermittent,,0.8,5.3,21,138,557.1
1864-BB12010,"AMAZON.COM.KYDC,INC",BB12010,Kingsford - Stainless Steel Smoker Box,Croston's,,19.6,108.2,510,2814,451.8
1864-BB16180,"AMAZON.COM.KYDC,INC",BB16180,"Kingsford - Assorted Cutlery, 75ct - Red",Sparse Intermittent,,5.5,30.5,144,792,450.0
1864-FF33867,"AMAZON.COM.KYDC,INC",FF33867,"Arm & Hammer Complete Care Dental Gel, 2",Heuristic,,37.8,199.4,984,5184,426.8
1864-BB21641PCS2,"AMAZON.COM.KYDC,INC",BB21641PCS2,Clorox Fraganzia - Air Freshener Beads -,Croston's,,8.1,42.2,210,1098,422.9
1864-FF30879PX6,"AMAZON.COM.KYDC,INC",FF30879PX6,Dole Molded Chew; Banana; 8oz bag/5ct  [,Heuristic,,0.4,2.0,10,52,420.0
1864-FF31183,"AMAZON.COM.KYDC,INC",FF31183,Burts Bees Deodorizing Wipes with Witch ,Croston's,,6.2,31.6,162,822,407.4
1864-FF9297PCS2,"AMAZON.COM.KYDC,INC",FF9297PCS2,A&H Complete Care Dog Dental Kit - Inclu,Croston's,,1.8,8.3,48,216,350.0
1864-FF28036PCS6,"AMAZON.COM.KYDC,INC",FF28036PCS6,Wags & Wiggles Deterrent Training Spray ,Heuristic,,1.0,4.5,27,116,329.6
1864-FF33877,"AMAZON.COM.KYDC,INC",FF33877,Arm & Hammer Cologne - Vanilla Sandalwoo,Croston's,,66.5,267.2,1728,6948,302.1
1864-BB25519PCS6,"AMAZON.COM.KYDC,INC",BB25519PCS6,Glad - Everyday Plastic Cups - 18oz - 40,Sparse Intermittent,,0.2,0.6,4,16,300.0
1864-FF28400,"AMAZON.COM.KYDC,INC",FF28400,Disney The Lion King: Pumba & Bugs Plush,Croston's,,1.8,7.4,48,192,300.0
1864-SF8173PCS24,"AMAZON.COM.KYDC,INC",SF8173PCS24,"Arm & Hammer Fresh Breath Dental Spray, ",Croston's,,0.5,2.0,13,52,300.0
1864-BB33708,"AMAZON.COM.KYDC,INC",BB33708,"G4K Disney - 3oz Bath Cups, 100ct -Princ",Croston's,,174.2,677.3,4530,17610,288.7
1864-FF8651/8,"AMAZON.COM.KYDC,INC",FF8651/8,Glad for Pets Activated Carbon Training ,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 1707 units),20.6,78.5,536,2040,280.6
1864-BB14658PCS10,"AMAZON.COM.KYDC,INC",BB14658PCS10,Glad Kids - 9oz Paper Cup - 20ct - Paw P,Croston's,,1.3,4.8,34,125,267.6
1864-FF5773PCS6,"AMAZON.COM.KYDC,INC",FF5773PCS6,Burts Bees Kitten wipes -50ct & *** 6 Pc,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 72 units),2.1,7.6,54,198,266.7
1864-FF18956,"AMAZON.COM.KYDC,INC",FF18956,Arm & Hammer: Nubbies Duality Bone Denta,Sparse Intermittent,,5.5,18.5,144,480,233.3
1864-BB35032PCS6,"AMAZON.COM.KYDC,INC",BB35032PCS6,Gladware - Freezerware 24oz - Small Rect,Croston's,,3.2,10.5,83,273,228.9
1864-BB0083AMZ6,"AMAZON.COM.KYDC,INC",BB0083AMZ6,409 - Heavy Duty Oven Cleaner - 14.5oz -,Croston's,,0.3,1.0,8,26,225.0
1864-BB21626PCS2,"AMAZON.COM.KYDC,INC",BB21626PCS2,Fabuloso-Sponges Purple 6 CT - 2 COUNT M,Heuristic,,2.8,9.0,72,234,225.0
1864-FF7260AMZ,"AMAZON.COM.KYDC,INC",FF7260AMZ,Burt's Bees Deodorizing Shampoo for Dogs,Croston's,,6.0,19.4,156,504,223.1
1864-BB31552CLR/9,"AMAZON.COM.KYDC,INC",BB31552CLR/9,"G4K - 12oz Paper Snack Bowls w/o lid, 20",Sparse Intermittent,,76.8,248.2,1998,6453,223.0
