key,cust,mstyle,model_base,model_vp2,baseline_mode_base,baseline_mode_vp2,old_wkly,new_wkly,old_26w,new_26w,delta_units,delta_pct
1864-BB0235,"AMAZON.COM.KYDC,INC",BB0235,Sparse Intermittent,Sparse Intermittent,,,30.5,60.9,792,1584,792,100.0
1864-BB35514,"AMAZON.COM.KYDC,INC",BB35514,Sparse Intermittent,Sparse Intermittent,,,0.7,1.4,18,36,18,100.0
1864-BB14500CLR/9,"AMAZON.COM.KYDC,INC",BB14500CLR/9,Sparse Intermittent,Sparse Intermittent,,,162.0,243.0,4212,6318,2106,50.0
1864-BB15258,"AMAZON.COM.KYDC,INC",BB15258,Croston's,Croston's,,,104.6,156.9,2720,4080,1360,50.0
1864-BB31552CLR/9,"AMAZON.COM.KYDC,INC",BB31552CLR/9,Sparse Intermittent,Sparse Intermittent,,,165.5,248.2,4302,6453,2151,50.0
1864-FF12653,"AMAZON.COM.KYDC,INC",FF12653,Sparse Intermittent,Sparse Intermittent,,,53.1,79.6,1380,2070,690,50.0
1864-FF26536,"AMAZON.COM.KYDC,INC",FF26536,Sparse Intermittent,Sparse Intermittent,,,2.8,3.7,72,96,24,33.3
1864-FF20206PCS6,"AMAZON.COM.KYDC,INC",FF20206PCS6,Croston's,Croston's,,,1.1,1.4,29,37,8,27.6
1864-BB26737PCS10,"AMAZON.COM.KYDC,INC",BB26737PCS10,Croston's,Croston's,,,0.5,0.6,13,16,3,23.1
1864-BB35041,"AMAZON.COM.KYDC,INC",BB35041,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 678 units),L13 nz-avg (OOS: fill-rate 6% over 678 units),46.6,55.8,1212,1452,240,19.8
1864-BB11417FL/12,"AMAZON.COM.KYDC,INC",BB11417FL/12,Croston's,Croston's,,,5.5,6.5,144,168,24,16.7
1864-FF31186,"AMAZON.COM.KYDC,INC",FF31186,Croston's,Croston's,,,18.7,21.8,486,567,81,16.7
1864-BB15069,"AMAZON.COM.KYDC,INC",BB15069,Croston's,Croston's,,,12.0,13.8,312,360,48,15.4
1864-BB26613PCS2,"AMAZON.COM.KYDC,INC",BB26613PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 225 units),L13 nz-avg (OOS: fill-rate 10% over 225 units),12.5,14.4,325,375,50,15.4
1864-BB0018AMZ6,"AMAZON.COM.KYDC,INC",BB0018AMZ6,Croston's,Croston's,,,1.0,1.2,27,31,4,14.8
1864-BB12019,"AMAZON.COM.KYDC,INC",BB12019,Croston's,Croston's,,,12.5,14.3,324,372,48,14.8
1864-FF21789,"AMAZON.COM.KYDC,INC",FF21789,Croston's,Croston's,,,12.9,14.8,336,384,48,14.3
1864-FF28400,"AMAZON.COM.KYDC,INC",FF28400,Croston's,Croston's,,,6.5,7.4,168,192,24,14.3
1864-BB35096,"AMAZON.COM.KYDC,INC",BB35096,Croston's,Croston's,,,718.4,813.7,18678,21156,2478,13.3
