key,cust,mstyle,model_base,model_vp2,baseline_mode_base,baseline_mode_vp2,old_wkly,new_wkly,old_26w,new_26w,delta_units,delta_pct
23011-FF27687,WAL MART STORES,FF27687,Croston's,Croston's,,,2.4,0.0,63,0,-63,-100.0
23011-FF29833,WAL MART STORES,FF29833,Croston's,Croston's,,,12.0,23.1,312,600,288,92.3
23011-FF19341,WAL MART STORES,FF19341,Sparse Intermittent,Croston's,,,44.1,73.8,1146,1920,774,67.5
23011-BB0098PCS2,WAL MART STORES,BB0098PCS2,Sparse Intermittent,Sparse Intermittent,,,4.2,1.4,108,36,-72,-66.7
23011-FF7217,WAL MART STORES,FF7217,Croston's,Seasonal Baseline,,L13 nz-avg (OOS: fill-rate 8% over 300 units),18.0,30.0,468,780,312,66.7
23011-FF12660,WAL MART STORES,FF12660,Seasonal Baseline,Croston's,L13 nz-avg (OOS: fill-rate 2% over 47160 units),,3378.5,1374.0,87840,35724,-52116,-59.3
23011-BB0083,WAL MART STORES,BB0083,Heuristic,Reactivating,,,13.4,6.0,348,156,-192,-55.2
23011-FF7228,WAL MART STORES,FF7228,Croston's,Croston's,,,15.2,23.5,396,612,216,54.5
23011-FF7120,WAL MART STORES,FF7120,Croston's,Croston's,,,567.0,872.8,14742,22692,7950,53.9
23011-FF30114,WAL MART STORES,FF30114,Croston's,Croston's,,,12.0,6.0,312,156,-156,-50.0
23011-FF4935,WAL MART STORES,FF4935,Croston's,Croston's,,,24.0,12.0,624,312,-312,-50.0
23011-FF8991,WAL MART STORES,FF8991,Sparse Intermittent,Sparse Intermittent,,,0.5,0.7,12,18,6,50.0
23011-FF31287,WAL MART STORES,FF31287,Croston's,Croston's,,,8.0,11.7,208,304,96,46.2
23011-FF7216,WAL MART STORES,FF7216,Croston's,Croston's,,,12.0,17.5,312,456,144,46.2
23011-BB0100PCS2,WAL MART STORES,BB0100PCS2,Sparse Intermittent,Sparse Intermittent,,,2.3,3.2,60,84,24,40.0
23011-FF31607,WAL MART STORES,FF31607,Sparse Intermittent,Sparse Intermittent,,,8.3,11.5,216,300,84,38.9
23011-FF31606,WAL MART STORES,FF31606,Sparse Intermittent,Sparse Intermittent,,,12.0,16.6,312,432,120,38.5
