
[run] BASELINE (no smoothing)
      C:\Python314\python.exe C:\Users\steven\.claude\skills\inventory-forecaster-cc\scripts\inventory_forecaster.py --customer WAL MART STORES --dry-run --out C:\Users\steven\.claude\skills\inventory-forecaster-cc\backtest_vp_q2_base.json

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  Manual projection columns: 04_19_W1 → 10_11_W26

[1/4] Pulling projections from Quickbase ...
      166 records retrieved

[2/4] Pulling master pack + Season from Styles ...
      166 master pack records loaded (0 with Season tag)

[3/4] Running forecasts ...
      Mstyle-family index: 158 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 33.7)
      166 forecasts complete in 0.0s
      Croston's: 65  Heuristic: 6  Inactive: 9  New/Relaunch: 7  OTB (zero): 2  Seasonal Baseline: 62  Sparse Intermittent: 15  Bi-weekly enforced: 0  Alerts (>5%): 140
      Saved → C:\Users\steven\.claude\skills\inventory-forecaster-cc\backtest_vp_q2_base.json
      Open viewer: python scripts/viewer.py --results backtest_vp_q2_base.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  166 records  |  Total 26w demand: 2,977,704
  Models — HW: 0  Croston's: 65  Heuristic: 6  Inactive: 9  Bi-weekly: 0

  ALERTS (140 records — >5% variance or inactive):
  Key                                   Δ%  Model               AI 26w      Manual
  --------------------------------------------------------------------------------
  23011-BB0082                      +100.0%  OTB (zero)                    0        52.0
  23011-BB0083                       +21.3%  Heuristic                   348         442
  23011-BB0092PCS2                   +86.2%  Sparse Intermittent               18         130
  23011-BB0094PCS2                   +22.5%  Heuristic                 1,494       1,220
  23011-BB0096PCS2                   +24.6%  Seasonal Baseline            1,296       1,040
  23011-BB0098PCS2                   +86.0%  Sparse Intermittent              108         770
  23011-BB0100PCS2                   +97.5%  Sparse Intermittent               60       2,430
  23011-BB0102PCS2                   +56.2%  Croston's                   534       1,220
  23011-BB0237                       +74.9%  Seasonal Baseline            8,922       5,100
  23011-BB12479                     +100.0%  Inactive                      0          27
  23011-BB13435CLR/12                +36.5%  Croston's                48,060      75,630
  23011-BB13436CLR/12                +13.9%  Croston's                92,292     107,235
  23011-BB24711                     +225.0%  New/Relaunch                260          80
  23011-BB29490/6                    +99.7%  New/Relaunch                156      54,740
  23011-BB31553PCS3                  +16.3%  Croston's                   544         650
  23011-BB34403                       +8.3%  New/Relaunch                156         144
