key,mstyle,cust,desc,pattern,model,manual,ai,gap_pct,l13_nz_avg,l52_peak,bucket
1864-FF8990,FF8990,AMAZON.COM.KYDC,INC,"Fresh Step Litter Box Scent Crystals in Fresh Scent  15oz",steady,Seasonal Baseline,135985,122424,-10.0,2476,8328,aligned
1864-FF12689,FF12689,AMAZON.COM.KYDC,INC,"A&H Pet Scents Deodorizing Gel Beads - Fresh Breeze",steady,Seasonal Baseline,114905,91248,-20.6,11254,21888,under_forecast_other
1864-BB0466,BB0466,AMAZON.COM.KYDC,INC,"Kingsford - Deluxe Charcoal Chimney Starter",steady,Seasonal Baseline,103080,59724,-42.1,1546,27180,seasonal_ramp_underforecast
1864-FF10479EC,FF10479EC,AMAZON.COM.KYDC,INC,"Arm & Hammer Super Deodorizing Spray - Kiwi Blossom",steady,Seasonal Baseline,91810,53742,-41.5,3271,8484,prime_day_prebuy_gap
1864-FF22031,FF22031,AMAZON.COM.KYDC,INC,"Wags & Wiggles Cleanse Hypoallergenic Wipes 100ct",steady,Seasonal Baseline,91750,37224,-59.4,3142,7704,under_forecast_other
1864-FF4775AMZ,FF4775AMZ,AMAZON.COM.KYDC,INC,"Burts Bees Tearless 2 in 1 Shampoo and Conditioner for Puppies with Buttermilk &",steady,Seasonal Baseline,91480,85338,-6.7,3917,8652,aligned
1864-FF10159EC,FF10159EC,AMAZON.COM.KYDC,INC,"Arm & Hammer Super Deodorizing Shampoo 20oz",steady,Seasonal Baseline,85145,75648,-11.2,4413,15066,aligned
1864-FF7120EC,FF7120EC,AMAZON.COM.KYDC,INC,"BioSilk for Dogs Detangling and Shine Spray for Dogs  8 Ounces",steady,Seasonal Baseline,82505,52398,-36.5,2666,2928,under_forecast_other
1864-FF8654,FF8654,AMAZON.COM.KYDC,INC,"Glad for Pets Activated Carbon Training Pads for Puppies and Senior Dogs  100 Co",steady,Seasonal Baseline,79500,63438,-20.2,961,3168,seasonal_ramp_underforecast
1864-FF7258AMZ,FF7258AMZ,AMAZON.COM.KYDC,INC,"Burt's Bees Oatmeal Shampoo for Dogs 16oz",steady,Seasonal Baseline,75070,65886,-12.2,3882,16860,aligned
1864-BB0237,BB0237,AMAZON.COM.KYDC,INC,"Glad - Assorted Cutlery  240ct - Clear",steady,Seasonal Baseline,71425,59280,-17.0,2440,6558,prime_day_prebuy_gap
1864-FF15589,FF15589,AMAZON.COM.KYDC,INC,"Palmer's for Pets Paw Pad & Nose Balm with Cocoa Butter 3.5oz",steady,Seasonal Baseline,66770,34008,-49.1,3956,6060,under_forecast_other
1864-FF8882,FF8882,AMAZON.COM.KYDC,INC,"Glad for Pets Jumbo Activated Carbon Training Pads For Large Breeds  30 Count",new_item,Seasonal Baseline,61645,47190,-23.4,3343,6582,under_forecast_other
1864-BB20552,BB20552,AMAZON.COM.KYDC,INC,"Glad - Plastic Forks  70ct - Clear",steady,Seasonal Baseline,61625,58620,-4.9,1180,5736,aligned
1864-FF12887,FF12887,AMAZON.COM.KYDC,INC,"A&H Pet Scents Solid Gel Deodorizer - Fresh Breeze",steady,Seasonal Baseline,61435,53508,-12.9,1774,4228,aligned
