rule_code,tier,n,fire_pct,median_delta,avg_delta,unit_gap,abs_unit_gap,ai_total,manual_total,top_model
VP-Q4,CRITICAL,1635,29.35,0.4000,0.5247,-822789,822789,9438848,10261637,Seasonal Baseline
F64,CRITICAL,1644,29.51,0.3523,0.4521,-689298,689298,9202619,9891917,Croston's
F65,CRITICAL,963,17.29,1.0000,0.8613,-634543,634543,348793,983336,Inactive
F59h,CRITICAL,558,10.02,0.7562,0.7341,-481478,481478,1166102,1647580,Croston's
F59j,HIGH,130,2.33,0.2448,0.4351,408721,408721,2225058,1816337,Seasonal Baseline
F43,CRITICAL,374,6.71,0.3561,0.4939,392205,392205,3199937,2807732,Seasonal Baseline
F10,CRITICAL,900,16.16,0.5500,0.6653,-368205,368205,4496723,4864928,Sparse Intermittent
F45,HIGH,197,3.54,0.3897,0.5436,363416,363416,1888935,1525519,Seasonal Baseline
F37,CRITICAL,2280,40.93,0.4000,0.5081,-348545,348545,12928528,13277073,Croston's
F52,CRITICAL,550,9.87,0.7600,0.7577,308909,308909,620729,311820,Inactive (zeroed by guards)
F59d,HIGH,247,4.43,0.4273,0.6427,304364,304364,1611134,1306770,Croston's
VP-Q3,CRITICAL,812,14.58,0.4000,0.5013,-277982,277982,2293805,2571787,Croston's
F59f,HIGH,161,2.89,0.6641,0.6312,-274649,274649,900525,1175174,Croston's
VP-Q2,HIGH,102,1.83,0.6177,0.7116,269729,269729,562922,293193,Seasonal Baseline
F59a,HIGH,241,4.33,0.3760,0.6023,267389,267389,2498780,2231391,Seasonal Baseline
F59g,HIGH,183,3.28,0.2857,0.4628,258655,258655,4429544,4170889,Seasonal Baseline
R2,CRITICAL,551,9.89,0.4769,0.5665,-255255,255255,1278775,1534030,Sparse Intermittent
F26,HIGH,176,3.16,0.2586,0.3359,-251549,251549,1492110,1743659,Seasonal Baseline
F49,HIGH,64,1.15,0.4290,0.6419,243289,243289,883671,640382,Seasonal Baseline
F36,CRITICAL,605,10.86,1.0000,0.9295,-229620,229620,274805,504425,Inactive (zeroed by guards)
VP-OP,HIGH,131,2.35,0.3986,0.4868,-204014,204014,412734,616748,Sparse Intermittent
VP-ATS,HIGH,55,0.99,0.5200,0.6526,201905,201905,277222,75317,Seasonal Baseline
F_PO_CUTOFF,CRITICAL,1303,23.39,0.9471,0.8021,199300,199300,3161986,2962686,Inactive
F14a,HIGH,180,3.23,0.4000,0.5098,-189741,189741,1542779,1732520,Croston's
F72,HIGH,8,0.14,0.6986,0.7259,-182931,182931,78846,261777,Heuristic (F72 new-launch ramp)
F15,CRITICAL,352,6.32,0.3320,0.5064,175648,175648,3444322,3268674,Seasonal Baseline
F59e,CRITICAL,279,5.01,0.7172,0.7114,173284,173284,1069757,896473,Croston's
F38b,HIGH,223,4.00,0.3041,0.5070,172047,172047,2478342,2306295,Seasonal Baseline
F59i,HIGH,110,1.97,0.2634,0.3171,-171432,171432,1481728,1653160,Seasonal Baseline
F44,HIGH,47,0.84,0.4200,0.5393,171306,171306,353324,182018,Seasonal Baseline
F51,HIGH,10,0.18,0.1650,0.4655,169742,169742,696196,526454,Seasonal Baseline
F46,HIGH,38,0.68,0.4200,0.5523,165679,165679,307568,141889,Seasonal Baseline
F34,CRITICAL,736,13.21,0.5833,0.7086,-165013,165013,3015276,3180289,Sparse Intermittent
