key,mstyle,cust,desc,pattern,model,manual,ai,gap_pct,l13_nz_avg,l52_peak,bucket
1864-BB0009,BB0009,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0009AMZ6,BB0009AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,21,
1864-BB0012,BB0012,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,12,
1864-BB0012AMZ6,BB0012AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,8,16,
1864-BB0012PCS2,BB0012PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,206,720,
1864-BB0015,BB0015,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,56,96,
1864-BB0018,BB0018,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0018AMZ6,BB0018AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,17,
1864-BB0018EC,BB0018EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,6,222,
1864-BB0018PCS2,BB0018PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,42,69,
1864-BB0079,BB0079,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,68,252,
1864-BB0079AMZ6,BB0079AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,12,
1864-BB0080,BB0080,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,150,726,
1864-BB0080AMZ6,BB0080AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0080EC,BB0080EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,6,648,
1864-BB0080PCS2,BB0080PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,36,183,
1864-BB0081,BB0081,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,64,96,
1864-BB0081AMZ6,BB0081AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,9,
1864-BB0082,BB0082,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,53,126,
1864-BB0082AMZ6,BB0082AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,8,
1864-BB0083,BB0083,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,49,66,
1864-BB0083AMZ2,BB0083AMZ2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,5,6,
1864-BB0083AMZ6,BB0083AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,7,
1864-BB0092,BB0092,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,176,1800,
1864-BB0092AMZ12,BB0092AMZ12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,1,
1864-BB0092PCS12,BB0092PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,6,
1864-BB0092PCS2,BB0092PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,35,396,
1864-BB0094,BB0094,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,257,552,
1864-BB0094AMZ12,BB0094AMZ12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,1,
1864-BB0094PCS12,BB0094PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,16,
1864-BB0094PCS2,BB0094PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,7,
1864-BB0096,BB0096,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,475,900,
1864-BB0096AMZ12,BB0096AMZ12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0096PCS12,BB0096PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,35,
1864-BB0096PCS2,BB0096PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,6,
1864-BB0098,BB0098,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1390,4770,
1864-BB0098AMZ12,BB0098AMZ12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0098PCS12,BB0098PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,11,
1864-BB0098PCS2,BB0098PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,66,586,
1864-BB0098PX2,BB0098PX2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,55,586,
1864-BB0100,BB0100,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,236,516,
1864-BB0100AMZ12,BB0100AMZ12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0100CFPCS12,BB0100CFPCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0100PCS12,BB0100PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,3,
1864-BB0100PCS2,BB0100PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,18,58,
1864-BB0102,BB0102,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,56,168,
1864-BB0102PCS12,BB0102PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4,10,
1864-BB0102PCS2,BB0102PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,12,
1864-BB0102PX12,BB0102PX12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,2,
1864-BB0125,BB0125,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,111,258,
1864-BB0125PCS6,BB0125PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,11,
1864-BB0126,BB0126,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,70,156,
1864-BB0126AMZ6,BB0126AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0126PCS6,BB0126PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,2,
1864-BB0131,BB0131,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0131AMZ6,BB0131AMZ6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,10,65,
1864-BB0131EC,BB0131EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,512,5628,
1864-BB0131PCS2,BB0131PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,28,606,
1864-BB0149,BB0149,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,636,
1864-BB0149PCS12,BB0149PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,21,159,
1864-BB0149PCS2,BB0149PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,233,618,
1864-BB0149PCS6,BB0149PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,456,1156,
1864-BB0150,BB0150,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,894,1584,
1864-BB0150PCS12,BB0150PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,38,217,
1864-BB0151,BB0151,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,120,240,
1864-BB0151PCS12,BB0151PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,9,30,
1864-BB0151PCS6,BB0151PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,23,59,
1864-BB0152,BB0152,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,55,120,
1864-BB0152PCS12,BB0152PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4,21,
1864-BB0190,BB0190,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,207,786,
1864-BB0191,BB0191,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0191PCS2,BB0191PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,315,933,
1864-BB0191PCS6,BB0191PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,4,
1864-BB0192,BB0192,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,60,138,
1864-BB0192PCS6,BB0192PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,1,
1864-BB0193,BB0193,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0216,BB0216,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,61,258,
1864-BB0216PCS6,BB0216PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,7,19,
1864-BB0217,BB0217,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,82,198,
1864-BB0217PCS2,BB0217PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,12,21,
1864-BB0217PCS6,BB0217PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,5,21,
