key,cust,model,ai_total,man_total,delta_pct,abs_gap,man_shape,ai_shape,status_cust,rule_fires
23011-BB38904PDQ,"WAL MART STORES",Heuristic (F72 new-launch ramp),58704,194740,-69.9,-136036,FLAT,FLAT,A: NEW,F10|F34|F37|F41|F64|F72|F9|M1|R9|VP-Q4
1864-BB30930,"AMAZON.COM.KYDC,INC",Seasonal Baseline,159816,72985,119.0,86831,FRONT_LOADED,FLAT,A,F15|F16|F30|F37|F38b|F43|F45|F49|F51|F59a|F59g|F59j|F59m|F_PO_CUTOFF|M1|VP-Q1
23011-BB38906PDQ,"WAL MART STORES",Croston's,104949,191381,-45.2,-86432,FLAT,FLAT,A: NEW,F10|F34|F37|F40|F64|M1|VP-Q4
23011-BB13436CLR/12,"WAL MART STORES",Croston's,157920,97993,61.2,59927,FLAT,FLAT,A,F10|F34|F37|F41|F64|M1|VP-Q4
1864-BB22272,"AMAZON.COM.KYDC,INC",Seasonal Baseline,82896,26635,211.2,56261,FRONT_LOADED,FLAT,A,F15|F16|F30|F37|F38b|F43|F45|F49|F51|F59a|F59g|F59j|M1|VP-Q1|VP-Q4
23011-FF38640,"WAL MART STORES",Seasonal Baseline,151200,206500,-26.8,-55300,FLAT,VARIABLE,A: New 2/26,F10|F16|F34|F37|F64|M1|VP-Q1|VP-Q4
23011-BB33706PDQ,"WAL MART STORES",Heuristic (F72 new-launch ramp),16230,65147,-75.1,-48917,FLAT,FLAT,A: NEW,F10|F34|F37|F39|F64|F72|F9|M1|R9|VP-Q4
23011-BB38504PDQ,"WAL MART STORES",Croston's,100179,148209,-32.4,-48030,FLAT,FLAT,A: NEW,F10|F34|F37|F64|M1|VP-Q4
12835-BB12022/12,"LOWES COMPANIES, INC.",Sparse Intermittent,56568,11544,390.0,45024,VARIABLE,SPARSE,A,F17|F61|R2
1885-FF17554,"AMAZON PRIVATE LABEL",Croston's,89280,47250,89.0,42030,VARIABLE,VARIABLE,A,F59d|F59f|F59g|F71|F_PO_CUTOFF
23011-BB38585PDQ,"WAL MART STORES",Croston's,37377,76611,-51.2,-39234,FLAT,FLAT,A: NEW,F10|F34|F37|F41|F64|M1|VP-Q4
23011-FF38641,"WAL MART STORES",Seasonal Baseline,36972,75000,-50.7,-38028,VARIABLE,VARIABLE,A: New 2/26,F10|F16|F34|F37|F64|F6b|M1|VP-Q1|VP-Q4
